# moves.csv - every attack in the game.
# category: PHYSICAL uses Attack vs Defense, SPECIAL uses Sp. Attack vs Sp. Defense,
#           STATUS deals no damage and does something else instead.
# accuracy: 0 means the move never misses.
# priority: higher numbers go first no matter how slow the Pokemon is.
# effect:   see MoveEffect.java.  effectChance: percent chance the effect happens.
id,name,type,category,power,accuracy,pp,priority,effect,effectChance,description
splash,Splash,NORMAL,STATUS,0,0,40,0,NONE,0,"Absolutely nothing happens."
ember,Ember,FIRE,SPECIAL,40,100,25,0,BURN,10,"A small flame that may burn."
flamethrower,Flamethrower,FIRE,SPECIAL,90,100,15,0,BURN,10,"An intense blast of fire that may burn."
fire_fang,Fire Fang,FIRE,PHYSICAL,65,95,15,0,BURN,10,"Flame-cloaked fangs that may burn."
water_gun,Water Gun,WATER,SPECIAL,40,100,25,0,NONE,0,"A forceful squirt of water."
bubble,Bubble,WATER,SPECIAL,40,100,30,0,SPEED_DOWN,10,"Bubbles that may lower Speed."
withdraw,Withdraw,WATER,STATUS,0,0,40,0,DEFENSE_UP,100,"The user hides in its shell to raise Defense."
aqua_tail,Aqua Tail,WATER,PHYSICAL,90,90,10,0,NONE,0,"A swing of a tail like a raging wave."
surf,Surf,WATER,SPECIAL,90,100,15,0,NONE,0,"A huge wave crashes down on the foe."
thunder_shock,Thunder Shock,ELECTRIC,SPECIAL,40,100,30,0,PARALYZE,10,"A jolt that may leave the foe paralysed."
spark,Spark,ELECTRIC,PHYSICAL,65,100,20,0,PARALYZE,30,"An electrified tackle that may paralyse."
thunderbolt,Thunderbolt,ELECTRIC,SPECIAL,90,100,15,0,PARALYZE,10,"A strong shock that may paralyse."
thunder_wave,Thunder Wave,ELECTRIC,STATUS,0,90,20,0,PARALYZE,100,"A weak jolt that always paralyses."
vine_whip,Vine Whip,GRASS,PHYSICAL,45,100,25,0,NONE,0,"Slender vines whip the target."
absorb,Absorb,GRASS,SPECIAL,20,100,25,0,DRAIN_HALF,100,"Drains HP equal to half the damage dealt."
mega_drain,Mega Drain,GRASS,SPECIAL,40,100,15,0,DRAIN_HALF,100,"Drains more HP than Absorb."
razor_leaf,Razor Leaf,GRASS,PHYSICAL,55,95,25,0,HIGH_CRIT,100,"Sharp leaves that land critical hits often."
solar_beam,Solar Beam,GRASS,SPECIAL,120,100,10,0,NONE,0,"A concentrated beam of gathered light."
sleep_powder,Sleep Powder,GRASS,STATUS,0,75,15,0,SLEEP,100,"Scattered spores that send the foe to sleep."
stun_spore,Stun Spore,GRASS,STATUS,0,75,30,0,PARALYZE,100,"Spores that paralyse the foe."
poison_powder,Poison Powder,POISON,STATUS,0,75,35,0,POISON,100,"A cloud of poisonous dust."
poison_sting,Poison Sting,POISON,PHYSICAL,15,100,35,0,POISON,30,"A sharp stinger that may poison."
acid,Acid,POISON,SPECIAL,40,100,30,0,DEFENSE_DOWN,10,"Sprayed acid that may lower Defense."
sludge,Sludge,POISON,SPECIAL,65,100,20,0,POISON,30,"Thrown filth that may poison."
toxic,Toxic,POISON,STATUS,0,90,10,0,POISON,100,"A badly poisonous attack."
ice_beam,Ice Beam,ICE,SPECIAL,90,100,10,0,FREEZE,10,"A freezing beam that may freeze the foe solid."
aurora_beam,Aurora Beam,ICE,SPECIAL,65,100,20,0,ATTACK_DOWN,10,"A rainbow beam that may lower Attack."
karate_chop,Karate Chop,FIGHTING,PHYSICAL,50,100,25,0,HIGH_CRIT,100,"A sharp chop with a high critical-hit rate."
low_kick,Low Kick,FIGHTING,PHYSICAL,60,100,20,0,NONE,0,"A kick aimed at the foe's legs."
cross_chop,Cross Chop,FIGHTING,PHYSICAL,100,80,5,0,HIGH_CRIT,100,"Crossed forearms deliver a powerful chop."
dig,Dig,GROUND,PHYSICAL,80,100,10,0,NONE,0,"The user burrows, then strikes from below."
earthquake,Earthquake,GROUND,PHYSICAL,100,100,10,0,NONE,0,"A tremor that shakes the whole battlefield."
mud_slap,Mud-Slap,GROUND,SPECIAL,20,100,10,0,SPEED_DOWN,100,"Hurled mud that slows the foe down."
bone_club,Bone Club,GROUND,PHYSICAL,65,85,20,0,NONE,0,"A club of bone swung at the target."
gust,Gust,FLYING,SPECIAL,40,100,35,0,NONE,0,"A gust of wind whipped up by wings."
peck,Peck,FLYING,PHYSICAL,35,100,35,0,NONE,0,"A jab with a beak or horn."
wing_attack,Wing Attack,FLYING,PHYSICAL,60,100,35,0,NONE,0,"Spread wings strike the target."
aerial_ace,Aerial Ace,FLYING,PHYSICAL,60,0,20,0,NONE,0,"A blindingly fast strike that never misses."
drill_peck,Drill Peck,FLYING,PHYSICAL,80,100,20,0,NONE,0,"A corkscrewing attack with a sharp beak."
confusion,Confusion,PSYCHIC,SPECIAL,50,100,25,0,NONE,0,"A weak telekinetic force."
psybeam,Psybeam,PSYCHIC,SPECIAL,65,100,20,0,NONE,0,"A peculiar ray fired from the mind."
psychic,Psychic,PSYCHIC,SPECIAL,90,100,10,0,SP_ATTACK_UP,10,"Strong telekinesis that may boost the user."
agility,Agility,PSYCHIC,STATUS,0,0,30,0,SPEED_UP,100,"The user relaxes to sharply raise its Speed."
string_shot,String Shot,BUG,STATUS,0,95,40,0,SPEED_DOWN,100,"Sticky silk that lowers the foe's Speed."
bug_bite,Bug Bite,BUG,PHYSICAL,60,100,20,0,NONE,0,"A sharp bite from powerful jaws."
fury_cutter,Fury Cutter,BUG,PHYSICAL,40,95,20,0,NONE,0,"A slash with a sharpened claw or scythe."
twineedle,Twineedle,BUG,PHYSICAL,50,100,20,0,POISON,20,"Two stingers stab the foe and may poison."
rock_throw,Rock Throw,ROCK,PHYSICAL,50,90,15,0,NONE,0,"A small boulder is hurled at the foe."
rock_tomb,Rock Tomb,ROCK,PHYSICAL,60,95,15,0,SPEED_DOWN,100,"Falling rocks that also slow the foe down."
rock_slide,Rock Slide,ROCK,PHYSICAL,75,90,10,0,NONE,0,"Large boulders crash down on the target."
lick,Lick,GHOST,PHYSICAL,30,100,30,0,PARALYZE,30,"A ghostly tongue that may paralyse."
night_shade,Night Shade,GHOST,SPECIAL,50,100,15,0,NONE,0,"A frightening mirage strikes the foe."
shadow_ball,Shadow Ball,GHOST,SPECIAL,80,100,15,0,NONE,0,"A shadowy blob hurled at the target."
bite,Bite,DARK,PHYSICAL,60,100,25,0,NONE,0,"A sharp-fanged bite."
crunch,Crunch,DARK,PHYSICAL,80,100,15,0,DEFENSE_DOWN,20,"Fangs that may lower the foe's Defense."
dragon_rage,Dragon Rage,DRAGON,SPECIAL,50,100,10,0,NONE,0,"A shock wave of pure rage."
dragon_breath,Dragon Breath,DRAGON,SPECIAL,60,100,20,0,PARALYZE,30,"A powerful breath that may paralyse."
metal_claw,Metal Claw,STEEL,PHYSICAL,50,95,35,0,ATTACK_UP,10,"Steel claws that may raise the user's Attack."
fairy_wind,Fairy Wind,FAIRY,SPECIAL,40,100,30,0,NONE,0,"A gentle but stinging fairy breeze."
disarming_voice,Disarming Voice,FAIRY,SPECIAL,40,0,15,0,NONE,0,"A charming cry that never misses."
