# learnsets.csv - which move a species learns, and at what level.
# A Pokemon created at level N knows the last four moves at or below level N.
# Every species MUST have at least one move at level 1.
speciesId,level,moveId
gyarados,32,surf
eevee,1,tackle
eevee,1,tail_whip
eevee,8,quick_attack
eevee,15,bite
eevee,22,headbutt
eevee,29,crunch
dratini,1,tackle
dratini,1,dragon_rage
dratini,10,dragon_breath
dratini,20,slash
dratini,30,aqua_tail
dragonair,1,dragon_rage
dragonair,1,dragon_breath
dragonair,1,slash
dragonair,35,surf
dragonair,40,agility
